review_id,rating_date,count_helpful,count_unhelpful,employee_length,employee_status,employee_type,flag_covid,flag_featured,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,summary,company_name,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,pros_cleaned,cons_cleaned,pros_polarity,cons_polarity,sentiment_polarity,sentiment_label
36,2025-03-20T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,,0,0,3,0,Amazon Warehouse,Amazon Fulfillment Center,"Grand Rapids, MI",Warehouse Team Member,,It was close to home,Gloves were not strong enough,0,0,0,close home,gloves strong enough,0.0,0.5106,0.2553,positive
37,2025-03-19T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,NEGATIVE,2,2,3,1,Good experience,Amazon Fulfillment Center,"Tracy, CA",,,Good experience for fresh college graduate,very loud noise in Fulfillment center,3,1,4,experience fresh college graduate,loud noise fulfillment center,0.3182,0.0,0.1591,positive
38,2025-03-19T00:00:00.000Z,0,0,1,PART_TIME,"Former employee, less than 1 year",False,False,,,,0,0,4,0,Good place to work seasonally,Amazon Fulfillment Center,"West Jefferson, OH",Associate,,#NAME?,#NAME?,0,0,0,#name?,#name?,0.0,0.0,0.0,neutral
39,2025-03-18T00:00:00.000Z,0,0,1,CONTRACT,"Former employee, less than 1 year",False,False,POSITIVE,APPROVE,POSITIVE,4,5,5,4,Inbound Receiving,Amazon Fulfillment Center,"Brampton, ON",Warehouse Associate,,"Good work culture and pay also
events for extracurriculam activity",Quiet racist because most employee is belong from one group or race,5,5,5,culture pay events extracurriculam activity,quiet racist employee belong one group race,-0.1027,-0.6124,-0.35755000000000003,negative
40,2025-03-18T00:00:00.000Z,0,0,2,REGULAR,Current employees,False,False,,,,5,5,5,5,Satisfied,Amazon Fulfillment Center,"London, ON",Associate,,Work life balance and benefits,Mandatory extra time is required,5,5,5,life balance benefits,mandatory extra time required,0.3818,0.0772,0.22949999999999998,positive
41,2025-03-13T00:00:00.000Z,0,0,0,REGULAR,Former employee,False,False,,,POSITIVE,3,2,4,4,Easy money,Amazon Fulfillment Center,,AA(Amazon Associate),,The pay and benefits are really good,Toxic work environment and favoritism,5,4,4,pay benefits,toxic environment favoritism,0.296,0.1779,0.23695,positive
42,2025-03-12T00:00:00.000Z,0,0,0,PART_TIME,Former employee,False,False,,,,0,0,4,0,Good salary and benefits,Amazon Fulfillment Center,"Mississauga, ON",Warehouse Worker,,"Attractive pay , Employee Benefits",Contractual basis hiring based on business need,0,0,0,attractive pay employee benefits,contractual basis hiring based business need,0.6249,0.0,0.31245,positive
43,2025-03-08T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,POSITIVE,APPROVE,POSITIVE,5,5,4,1,Muy buena opción de trabajo.,Amazon Fulfillment Center,,Mozo De Almacen,Tener coche propio ya que no hay manera de trasladarse en transporte público.,"Muy Buenos beneficios.
Exelente ambiente de trabajo.
Ambiente de trabajo muy seguro.
Posibilidad de hacer carrera dentro de la empresa.","Salario no esta mal, pero se podría mejorar mucho más para el trabajo que se hace allí.
Horarios rotativos (no te permite crear hábitos saludables ya que constantemente estás cambiando tu rutina diaria).
Trabajo fines de semana.
Trabajo muy repetitivo..",3,3,3,muy buenos beneficios. exelente ambiente trabajo. ambiente trabajo muy seguro. posibilidad hacer carrera dentro empresa.,"salario esta mal, pero podría mejorar mucho más para trabajo que hace allí. horarios rotativos (no permite crear hábitos saludables que constantemente estás cambiando rutina diaria). trabajo fines semana. trabajo muy repetitivo..",0.0,0.0,0.0,neutral
44,2025-03-07T00:00:00.000Z,0,0,4,REGULAR,Former employees,False,False,NEGATIVE,DISAPPROVE,NEGATIVE,1,1,2,1,culture terrible,Amazon Fulfillment Center,"San Antonio, TX",Pathways Operations Manager,,Pay is comparable for ops,"poor work life balance, lack of leadership, very stressful job. No clear way for promotion or anyone to help you get there.",4,1,3,pay comparable ops,"poor life balance, lack leadership, stressful job. clear way promotion anyone help there.",-0.1027,-0.5267,-0.3147,negative
45,2025-03-05T00:00:00.000Z,0,0,0,REGULAR,Current employee,False,False,,,,0,0,4,0,Easy work,Amazon Fulfillment Center,"Bolton, ON",Warehouse Associate,,"Career Choice program is a great way to start new career.
Good benefits",Co-workers speak in non English to each other infront of you.,0,0,0,career choice program great way start new career. benefits,co-workers speak non english infront you.,0.7717,0.0,0.38585,positive
46,2025-03-03T00:00:00.000Z,0,0,0,PART_TIME,Current employee,False,False,,,,0,0,5,0,Cool place to work,Amazon Fulfillment Center,"Waukegan, IL",FC Associate,,Room to excel in your position,Extra shifts are never available,0,0,0,room excel position,extra shifts never available,0.4588,0.0,0.2294,positive
47,2025-03-03T00:00:00.000Z,0,0,2,PART_TIME,Current employees,False,False,,,,4,4,5,5,Not bad,Amazon Fulfillment Center,"Kent, WA",Flex Associate,,Choose own hours and the work is not bad once you get use to it,Could be moved around a lot depending on different departments and sometimes hard to find shifts that you want to work in,4,5,4,choose hours use,moved around depending different departments sometimes hard find shifts want,0.0,-0.0258,-0.0129,neutral
